Id,会员ID,账号,VIP,上级昵称,用户行为,游戏名称,商品名称,金额,手机型号,收件人,联系方式,提现方式,状态,定时,失败原因,作弊审查,申请时间
100,,scope-9000-0,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
101,,scope-9000-1,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
102,,scope-9000-2,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
103,,scope-9000-3,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
104,,scope-9000-4,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
105,,scope-9000-5,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
106,,scope-9000-6,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
107,,scope-9000-7,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
108,,scope-9000-8,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
109,,scope-9000-9,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
110,,scope-9000-10,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
111,,scope-9000-11,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
112,,scope-9000-12,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
113,,scope-9000-13,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
114,,scope-9000-14,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
115,,scope-9000-15,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
116,,scope-9000-16,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
117,,scope-9000-17,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
118,,scope-9000-18,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
119,,scope-9000-19,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
120,,scope-9000-20,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
121,,scope-9000-21,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
122,,scope-9000-22,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
123,,scope-9000-23,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
124,,scope-9000-24,V0,,单APP行为,,"商品 & <测试>",0元,,,,,审核通过,,,,"2026-09-17 08:00:00"
